symbol,date,low,close,open,volume,high
BTC-EUR,2021-02-01 16:00:00,27453.279296875,27743.35546875,27509.9765625,0,27743.35546875
BTC-EUR,2021-02-01 17:00:00,27665.8828125,28112.669921875,27746.98828125,24375296,28112.669921875
BTC-EUR,2021-02-01 18:00:00,27909.033203125,27909.033203125,28102.76953125,0,28135.23828125
BTC-EUR,2021-02-01 19:00:00,27919.478515625,28045.15234375,27919.478515625,0,28122.16796875
BTC-EUR,2021-02-01 20:00:00,27991.80859375,28018.767578125,28044.923828125,0,28145.6640625
BTC-EUR,2021-02-01 21:00:00,27851.595703125,27920.517578125,28024.099609375,0,28024.521484375
BTC-EUR,2021-02-01 22:00:00,27815.857421875,27828.888671875,27908.4140625,284655616,27961.966796875
BTC-EUR,2021-02-01 23:00:00,27711.443359375,27764.96484375,27821.8671875,74805248,27934.84375
BTC-EUR,2021-02-02 00:00:00,27757.673828125,27966.978515625,27790.58203125,509739008,28235.216796875
BTC-EUR,2021-02-02 01:00:00,27781.62890625,27815.78125,27961.5390625,0,27964.4453125
BTC-EUR,2021-02-02 02:00:00,27826.341796875,27831.642578125,27841.01953125,0,27938.349609375
BTC-EUR,2021-02-02 03:00:00,27768.892578125,27775.369140625,27838.732421875,0,27870.544921875
BTC-EUR,2021-02-02 04:00:00,27769.27734375,28057.189453125,27779.25390625,95318016,28081.14453125
BTC-EUR,2021-02-02 05:00:00,28007.76953125,28186.923828125,28059.771484375,133279744,28204.490234375
BTC-EUR,2021-02-02 06:00:00,28130.427734375,28391.92578125,28183.79296875,0,28405.150390625
BTC-EUR,2021-02-02 07:00:00,28302.912109375,28416.21484375,28396.677734375,500826112,28456.5390625
BTC-EUR,2021-02-02 08:00:00,28265.58203125,28538.451171875,28418.841796875,275873792,28538.451171875
BTC-EUR,2021-02-02 09:00:00,28547.40625,29249.7421875,28547.40625,2183233536,29348.607421875
BTC-EUR,2021-02-02 10:00:00,29135.83203125,29144.392578125,29247.32421875,0,29293.51953125
BTC-EUR,2021-02-02 11:00:00,28889.892578125,28889.892578125,29154.5390625,0,29263.814453125
